route,date,daytype,rides,year,month,day,day_of_week,is_weekend,season,route_encoded,TMAX,TMIN,PRCP,SNOW,AWND,is_rainy,is_snowy,rides_lag_1,rides_lag_7,rides_rolling_7,high_load
90,2026-01-08,W,3070,2026,1,8,3,0,0,152,0.0,0.0,0.0,0.0,0.0,0,0,3348.0,1045.0,2450.5714285714284,0
165,2012-08-22,W,50,2012,8,22,2,0,2,45,15.0,5.0,0.0,0.0,10.0,0,0,67.0,83.0,71.57142857142857,0
80,2019-03-04,W,8509,2019,3,4,0,0,1,140,15.0,5.0,0.0,0.0,10.0,0,0,4424.0,9978.0,8994.714285714286,0
82,2003-11-01,A,10864,2003,11,1,5,1,3,143,15.0,5.0,0.0,0.0,10.0,0,0,19017.0,12821.0,16820.428571428572,0
169,2024-06-04,W,129,2024,6,4,1,0,2,47,0.0,0.0,0.0,0.0,0.0,0,0,76.0,20.0,79.57142857142857,0
36,2022-04-05,W,9323,2022,4,5,1,0,1,82,0.0,0.0,0.0,0.0,0.0,0,0,8878.0,8677.0,8353.714285714286,0
3,2001-12-07,W,23557,2001,12,7,4,0,0,76,15.0,5.0,0.0,0.0,10.0,0,0,24222.0,24473.0,21304.14285714286,1
121,2016-12-29,W,665,2016,12,29,3,0,0,16,15.0,5.0,0.0,0.0,10.0,0,0,655.0,1092.0,805.8571428571429,0
148,2021-08-27,W,828,2021,8,27,4,0,2,37,0.0,0.0,0.0,0.0,0.0,0,0,975.0,980.0,932.8571428571428,0
135,2013-09-05,W,3733,2013,9,5,3,0,3,28,15.0,5.0,0.0,0.0,10.0,0,0,4279.0,3873.0,3807.714285714286,1
97,2018-04-13,W,2774,2018,4,13,4,0,1,162,15.0,5.0,0.0,0.0,10.0,0,0,2881.0,2773.0,2507.714285714286,0
88,2006-01-15,U,356,2006,1,15,6,1,0,149,15.0,5.0,0.0,0.0,10.0,0,0,856.0,291.0,1282.857142857143,0
85A,2004-10-25,W,260,2004,10,25,0,0,3,146,15.0,5.0,0.0,0.0,10.0,0,0,71.0,208.0,770.5714285714286,0
119,2002-09-14,A,4313,2002,9,14,5,1,3,13,15.0,5.0,0.0,0.0,10.0,0,0,5391.0,3954.0,5725.714285714285,0
31,2021-09-23,W,280,2021,9,23,3,0,3,78,0.0,0.0,0.0,0.0,0.0,0,0,432.0,257.0,319.85714285714283,0
81,2011-05-09,W,15182,2011,5,9,0,0,1,141,15.0,5.0,0.0,0.0,10.0,0,0,8383.0,14773.0,13441.714285714286,1
112,2025-03-05,W,1373,2025,3,5,2,0,1,11,0.0,0.0,0.0,0.0,0.0,0,0,1305.0,1486.0,1134.571428571429,0
28,2019-11-20,W,6194,2019,11,20,2,0,3,72,0.0,0.0,0.0,0.0,0.0,0,0,5670.0,5263.0,4757.857142857143,0
111A,2019-11-15,W,267,2019,11,15,4,0,3,10,0.0,0.0,0.0,0.0,0.0,0,0,249.0,282.0,201.42857142857144,1
67,2010-04-02,W,12962,2010,4,2,4,0,1,124,15.0,5.0,0.0,0.0,10.0,0,0,13171.0,14432.0,11210.57142857143,1
48,2020-06-18,W,331,2020,6,18,3,0,2,91,0.0,0.0,0.0,0.0,0.0,0,0,82.0,102.0,98.14285714285714,0
4,2008-04-23,W,22927,2008,4,23,2,0,1,86,15.0,5.0,0.0,0.0,10.0,0,0,23214.0,23305.0,20937.85714285714,1
52A,2006-02-21,W,6043,2006,2,21,1,0,0,99,15.0,5.0,0.0,0.0,10.0,0,0,3738.0,6550.0,4617.428571428572,1
8A,2007-04-24,W,3986,2007,4,24,1,0,1,150,15.0,5.0,0.0,0.0,10.0,0,0,3667.0,3802.0,3324.1428571428573,1
31,2018-01-12,W,507,2018,1,12,4,0,0,78,15.0,5.0,0.0,0.0,10.0,0,0,538.0,257.0,411.4285714285714,0
79,2008-07-07,W,32541,2008,7,7,0,0,2,138,15.0,5.0,0.0,0.0,10.0,0,0,20810.0,35101.0,32517.571428571428,1
66,2017-10-18,W,23878,2017,10,18,2,0,3,123,15.0,5.0,0.0,0.0,10.0,0,0,23774.0,23317.0,19800.714285714286,1
85A,2018-10-05,W,667,2018,10,5,4,0,3,146,15.0,5.0,0.0,0.0,10.0,0,0,677.0,536.0,609.4285714285714,0
21,2018-06-09,A,5972,2018,6,9,5,1,2,66,15.0,5.0,0.0,0.0,10.0,0,0,8510.0,7129.0,8153.428571428572,0
51,2010-11-12,W,2127,2010,11,12,4,0,3,97,15.0,5.0,0.0,0.0,10.0,0,0,1773.0,2264.0,1993.0,1
121,2022-08-31,W,161,2022,8,31,2,0,2,16,0.0,0.0,0.0,0.0,0.0,0,0,211.0,122.0,126.0,0
78,2022-08-16,W,4152,2022,8,16,1,0,2,137,0.0,0.0,0.0,0.0,0.0,0,0,4547.0,4538.0,3964.857142857143,0
201,2013-12-21,A,1113,2013,12,21,5,1,0,60,15.0,5.0,0.0,0.0,10.0,0,0,1611.0,2004.0,1687.142857142857,0
168,2009-09-08,W,41,2009,9,8,1,0,3,46,15.0,5.0,0.0,0.0,10.0,0,0,46.0,42.0,44.0,0
124,2010-07-21,W,2499,2010,7,21,2,0,2,19,15.0,5.0,0.0,0.0,10.0,0,0,1530.0,2384.0,2050.285714285714,1
34,2013-02-01,W,5613,2013,2,1,4,0,0,80,15.0,5.0,0.0,0.0,10.0,0,0,6113.0,5401.0,5293.571428571428,1
X55,2008-08-05,W,3038,2008,8,5,1,0,2,183,15.0,5.0,0.0,0.0,10.0,0,0,2494.0,2967.0,3030.5714285714284,1
155,2003-08-10,U,3760,2003,8,10,6,1,2,42,15.0,5.0,0.0,0.0,10.0,0,0,5067.0,2925.0,5654.142857142857,0
57,2013-09-07,A,1472,2013,9,7,5,1,3,111,15.0,5.0,0.0,0.0,10.0,0,0,4028.0,1260.0,2604.5714285714284,0
60,2005-06-11,A,9077,2005,6,11,5,1,2,114,15.0,5.0,0.0,0.0,10.0,0,0,13660.0,8650.0,11805.142857142857,0
91,2008-03-07,W,9570,2008,3,7,4,0,1,154,15.0,5.0,0.0,0.0,10.0,0,0,9457.0,9639.0,7672.571428571428,1
66,2009-10-13,W,25749,2009,10,13,1,0,3,123,15.0,5.0,0.0,0.0,10.0,0,0,20986.0,25424.0,21872.285714285717,1
63W,2019-03-16,A,685,2019,3,16,5,1,1,118,15.0,5.0,0.0,0.0,10.0,0,0,1418.0,621.0,1144.857142857143,0
151,2016-02-03,W,14907,2016,2,3,2,0,0,39,15.0,5.0,0.0,0.0,10.0,0,0,14960.0,15058.0,14054.0,0
20,2008-11-27,U,8545,2008,11,27,3,1,3,58,15.0,5.0,0.0,0.0,10.0,0,0,21709.0,23059.0,19990.0,0
8,2011-08-17,W,21591,2011,8,17,2,0,2,139,15.0,5.0,0.0,0.0,10.0,0,0,21306.0,20920.0,18060.0,1
147,2013-07-11,W,16264,2013,7,11,3,0,2,36,15.0,5.0,0.0,0.0,10.0,0,0,16136.0,8554.0,12492.285714285714,1
146,2015-09-10,W,14785,2015,9,10,3,0,3,35,15.0,5.0,0.0,0.0,10.0,0,0,14582.0,15173.0,12993.57142857143,1
103,2023-02-21,W,1342,2023,2,21,1,0,0,5,0.0,0.0,0.0,0.0,0.0,0,0,784.0,1326.0,976.0,0
29,2025-01-23,W,8000,2025,1,23,3,0,0,73,0.0,0.0,0.0,0.0,0.0,0,0,7195.0,8060.0,5899.0,0
84,2008-03-12,W,4776,2008,3,12,2,0,1,144,15.0,5.0,0.0,0.0,10.0,0,0,4443.0,4660.0,3965.285714285714,1
76,2020-04-11,A,1479,2020,4,11,5,1,1,135,0.0,0.0,0.0,0.0,0.0,0,0,2117.0,1670.0,1857.7142857142856,0
111A,2022-12-20,W,180,2022,12,20,1,0,0,10,0.0,0.0,0.0,0.0,0.0,0,0,182.0,209.0,178.28571428571428,0
144,2004-07-09,W,841,2004,7,9,4,0,2,33,15.0,5.0,0.0,0.0,10.0,0,0,799.0,948.0,851.7142857142857,0
53A,2004-08-28,A,2896,2004,8,28,5,1,2,101,15.0,5.0,0.0,0.0,10.0,0,0,7552.0,3455.0,6406.571428571428,0
147,2023-07-19,W,8880,2023,7,19,2,0,2,36,0.0,0.0,0.0,0.0,0.0,0,0,8718.0,7647.0,7734.0,0
